City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,pevek,69.7008,170.3133,-28.1,76,2,0.94,RU,1674678355
120,cap malheureux,-19.9842,57.6142,24.15,88,100,1.79,MU,1674678355
121,hermanus,-34.4187,19.2345,17.11,68,0,4.97,ZA,1674678356
122,xiaoshi,41.2971,124.1209,-13.56,90,100,1.73,CN,1674678356
123,bay roberts,47.5999,-53.2648,0.74,67,14,3.13,CA,1674678357
124,khatanga,71.9667,102.5,-26.47,86,100,3.51,RU,1674678257
125,torbay,47.6666,-52.7314,0.32,69,40,8.23,CA,1674678357
126,padang,-0.9492,100.3543,24.26,82,99,1.93,ID,1674678358
127,vrangel,42.7297,133.0839,-15.22,68,0,4.84,RU,1674678359
128,bethel,41.3712,-73.414,2.52,84,100,3.6,US,1674678359
129,yangambi,0.8102,24.4336,23.09,72,55,1.47,CD,1674678360
130,halifax,44.6453,-63.5724,-0.99,59,75,2.57,CA,1674677921
131,ostrovnoy,68.0531,39.5131,-4.9,95,100,5.11,RU,1674678361
132,kindu,-2.95,25.95,21.24,89,100,1.27,CD,1674678361
133,saldanha,-33.0117,17.9442,16.03,78,0,9.47,ZA,1674678362
134,vila franca do campo,37.7167,-25.4333,15.23,74,75,6.81,PT,1674678363
135,sola,-13.8833,167.55,28.07,78,43,7.71,VU,1674678367
136,puerto escondido,15.85,-97.0667,29.46,61,0,3.6,MX,1674678315
137,yellowknife,62.456,-114.3525,-16.71,85,100,2.57,CA,1674678370
138,cabo san lucas,22.8909,-109.9124,25.59,47,75,4.63,MX,1674678371
139,kulhudhuffushi,6.6221,73.07,24.54,88,100,3.88,MV,1674678372
140,dikson,73.5069,80.5464,-17.43,93,100,9.53,RU,1674678373
141,barrow,71.2906,-156.7887,-25.99,84,0,5.66,US,1674678374
142,yulara,-25.2406,130.9889,28.38,20,42,6.78,AU,1674678375
143,nyurba,63.2842,118.3319,-44.28,99,100,0.88,RU,1674678376
144,olinda,-8.0089,-34.8553,28.85,58,20,3.6,BR,1674678377
145,presidencia roque saenz pena,-26.7852,-60.4388,25.42,74,100,5.93,AR,1674678378
146,tiarei,-17.5333,-149.3333,30.01,82,32,8.37,PF,1674678380
147,qaanaaq,77.484,-69.3632,-17.3,64,1,2.86,GL,1674678382
148,gorontalo,0.5412,123.0595,23.33,95,100,1.71,ID,1674678383
149,eirunepe,-6.6603,-69.8736,26.89,89,60,1.16,BR,1674678384
150,evensk,61.95,159.2333,-14.12,61,100,11.86,RU,1674678385
151,sept-iles,50.2001,-66.3821,-12.75,47,20,3.6,CA,1674678303
152,muros,42.7762,-9.0603,10.05,71,3,6.24,ES,1674678227
153,yala,6.3333,101.25,21.57,92,100,1.17,TH,1674678201
154,kruisfontein,-34.0033,24.7314,17.12,82,0,3.33,ZA,1674678391
155,santa cruz,-17.8,-63.1667,31.03,62,40,8.75,BO,1674678160
156,coihueco,-36.6167,-71.8333,26.41,22,0,3.6,CL,1674678393
157,sosnovo-ozerskoye,52.5249,111.5418,-28.4,97,99,2.97,RU,1674678394
158,sur,22.5667,59.5289,18.23,57,7,2.99,OM,1674678394
159,lasa,46.6166,10.7002,-1.1,60,29,1.73,IT,1674678395
160,lavrentiya,65.5833,-171.0,-24.01,86,98,5.54,RU,1674678396
161,vilani,56.5525,26.9245,-0.17,93,100,5.55,LV,1674678397
162,port alfred,-33.5906,26.891,20.66,84,100,2.24,ZA,1674678397
163,emerald,-23.5333,148.1667,21.3,92,26,2.39,AU,1674678398
164,katsuura,35.1333,140.3,0.88,43,35,4.93,JP,1674678398
165,sao gabriel da cachoeira,-0.1303,-67.0892,33.89,52,20,2.57,BR,1674678399
166,bata,1.8639,9.7658,27.03,81,79,3.61,GQ,1674678399
167,puerto ayora,-0.7393,-90.3518,29.98,87,74,4.47,EC,1674678400
168,takoradi,4.8845,-1.7554,27.19,82,0,4.08,GH,1674678176
169,saint george,37.1041,-113.5841,10.24,36,0,2.57,US,1674678401
170,mahebourg,-20.4081,57.7,24.03,94,75,1.54,MU,1674678401
171,puerto carreno,6.189,-67.4859,33.99,40,20,5.66,CO,1674678402
172,provideniya,64.3833,-173.3,-19.8,84,100,12.07,RU,1674678403
173,maniitsoq,65.4167,-52.9,-0.16,99,100,8.58,GL,1674678403
174,birjand,32.8663,59.2211,-4.74,74,0,2.06,IR,1674678404
